,"上海市美术馆名录
2020年度",,,,,,,
序号,序号,美术馆名称,所在区,性质,地址,日常开放时间,联系电话,门票
,市级,,,,,,,
1,1,"中华艺术宫
（上海美术馆）",浦东新区,国有,浦东新区上南路205号,"周二至周日
10:00-18:00（17:00停止入场）
（周一闭馆，法定节假日除外）","021-20202010；
400-921-9021","免费
（多媒体版清明上河图20元）"
2,2,刘海粟美术馆,长宁区,国有,长宁区延安西路1609号,"周二至周日
9:00-17:00（16:00停止入场）
（周一闭馆，法定节假日除外）",021-62701018,免费
3,3,上海当代艺术博物馆,黄浦区,国有,"黄浦区苗江路678号
（花园港路200号）","周二至周日
11:00-19:00（18:00停止入场）
（周一闭馆，法定节假日除外）",021-31108550,特展收费
4,4,上海中国画院美术馆,徐汇区,国有,徐汇区岳阳路197号,"周二至周日
9:30-16:30
（周一闭馆，法定节假日除外）",021-64749977,免费
,5,程十发美术馆,长宁区,国有,"长宁区虹桥路1398号
（近伊犁南路）","周二至周日
10:00-18:00（17:00停止入场）
（周一闭馆，法定节假日除外）",021-22506111,免费
5,6,上海油画雕塑院美术馆,长宁区,国有,"长宁区金珠路111号
（近虹桥路）","周二至周日
10:00-17:00（16:30停止入场）（周一闭馆，法定节假日除外） ",021-62759930,免费
,黄浦区,,,,,,,
,7,上海周慧珺书法艺术馆,黄浦区,国有,黄浦区文庙路215号,"周二至周六
9:30-11:30，13:00-16:00",021-63771815,收费
,8,上海久事美术馆,黄浦区,国有,"黄浦区中山东一路27号6楼；中山东一路18号2楼；
北京东路230号1楼","周二至周日
10:00-16:30
(16:00停止入场)",13774471354? ,特展收费
4,9,上海驰翰美术馆,黄浦区,非国有,黄浦区复兴东路1117号二楼,"周一至周五
10:00-17:00（法定节假日闭馆）",021-63503828,免费
20,10,上海赵春美术馆,黄浦区,非国有,黄浦区福州路655号二楼,"周二至周日 
10:30-18:30（18:00停止入场）
（闭馆装修中）",021-63330181,免费
2,11,上海皓古文化艺术馆,黄浦区,非国有,黄浦区黄家阙路155号,"周二至周日
9:30-18:00
（法定节假日除外）",021-63149718,免费
15,12,上海复星艺术中心,黄浦区,非国有,黄浦区中山东二路600号,"周二、三、周五、周日
10:00-18:00 
周四、周六10:00-20:00",021-63055118,收费
1,13,上海新视艺正和美术馆,黄浦区,非国有,黄浦区淮海中路300号B3层,10:00-20:00,021-23103132,收费
3,14,上海外滩美术馆,黄浦区,非国有,黄浦区虎丘路20号,"周二至周日
10:00-18:00 
（闭馆装修中）",021-63216251,收费
,15,上海当代艺术馆,黄浦区,非国有,黄浦区南京西路231号（人民公园内）,"周一至周日
10:00-18:00",021-63279900,收费
,徐汇区,,,,,,,
1,16,上海市徐汇区艺术馆,徐汇区,国有,徐汇区淮海中路1413号,"周二至周日
9:00-17:00",021-64313738,免费
2,17,西岸美术馆,徐汇区,国有,徐汇区龙腾大道2600号,"周二至周日
10:00-17:00（16:00停止入场）",021-31011015,收费
